,customer_id,payment_type_id,internet_service_type_id,contract_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type,churn_month,signup_date
0,0002-ORFBO,2,1,2,Female,0,Yes,Yes,9,Yes,No,No,Yes,No,Yes,Yes,No,Yes,65.6,593.3,No,One year,DSL,Mailed check,,2021-04-21 18:07:34
1,0003-MKNFE,2,1,1,Male,0,No,No,9,Yes,Yes,No,No,No,No,No,Yes,No,59.9,542.4,No,Month-to-month,DSL,Mailed check,,2021-04-21 18:07:34
2,0004-TLHLJ,1,2,1,Male,0,No,No,4,Yes,No,No,No,Yes,No,No,No,Yes,73.9,280.85,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-09-21 18:07:34
3,0011-IGKFF,1,2,1,Male,1,Yes,No,13,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,98.0,1237.85,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2020-12-21 18:07:34
4,0013-EXCHZ,2,2,1,Female,1,Yes,No,3,Yes,No,No,No,No,Yes,Yes,No,Yes,83.9,267.4,Yes,Month-to-month,Fiber optic,Mailed check,2022-01-31,2021-10-21 18:07:34
5,0013-MHZWF,4,1,1,Female,0,No,Yes,9,Yes,No,No,No,No,Yes,Yes,Yes,Yes,69.4,571.45,No,Month-to-month,DSL,Credit card (automatic),,2021-04-21 18:07:34
6,0013-SMEOE,3,2,3,Female,1,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.7,7904.25,No,Two year,Fiber optic,Bank transfer (automatic),,2016-02-21 18:07:34
7,0014-BMAQU,4,2,3,Male,0,Yes,No,63,Yes,Yes,Yes,No,No,Yes,No,No,Yes,84.65,5377.8,No,Two year,Fiber optic,Credit card (automatic),,2016-10-21 18:07:34
8,0015-UOCOJ,1,1,1,Female,1,No,No,7,Yes,No,Yes,No,No,No,No,No,Yes,48.2,340.35,No,Month-to-month,DSL,Electronic check,,2021-06-21 18:07:34
9,0016-QLJIS,2,1,3,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.45,5957.9,No,Two year,DSL,Mailed check,,2016-08-21 18:07:34
10,0017-DINOC,4,1,3,Male,0,No,No,54,No,No phone service,Yes,No,No,Yes,Yes,No,No,45.2,2460.55,No,Two year,DSL,Credit card (automatic),,2017-07-21 18:07:34
11,0017-IUDMW,4,2,3,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.8,8456.75,No,Two year,Fiber optic,Credit card (automatic),,2016-01-21 18:07:34
12,0018-NYROU,1,2,1,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,Yes,68.95,351.5,No,Month-to-month,Fiber optic,Electronic check,,2021-08-21 18:07:34
13,0019-EFAEP,3,2,3,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,101.3,7261.25,No,Two year,Fiber optic,Bank transfer (automatic),,2016-01-21 18:07:34
14,0019-GFNTW,3,1,3,Female,0,No,No,56,No,No phone service,Yes,Yes,Yes,Yes,No,No,No,45.05,2560.1,No,Two year,DSL,Bank transfer (automatic),,2017-05-21 18:07:34
15,0020-INWCK,4,2,3,Female,0,Yes,Yes,71,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,95.75,6849.4,No,Two year,Fiber optic,Credit card (automatic),,2016-02-21 18:07:34
16,0020-JDNXP,2,1,2,Female,0,Yes,Yes,34,No,No phone service,Yes,No,Yes,Yes,Yes,Yes,No,61.25,1993.2,No,One year,DSL,Mailed check,,2019-03-21 18:07:34
17,0021-IKXGC,1,2,1,Female,1,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,72.1,72.1,No,Month-to-month,Fiber optic,Electronic check,,2021-12-21 18:07:34
18,0022-TCJCI,4,1,2,Male,1,No,No,45,Yes,No,Yes,No,Yes,No,No,Yes,No,62.7,2791.5,Yes,One year,DSL,Credit card (automatic),2022-01-31,2018-04-21 18:07:34
19,0023-HGHWL,1,1,1,Male,1,No,No,1,No,No phone service,No,No,No,No,No,No,Yes,25.1,25.1,Yes,Month-to-month,DSL,Electronic check,2022-01-31,2021-12-21 18:07:34
20,0023-UYUPN,1,3,2,Female,1,Yes,No,50,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.2,1306.3,No,One year,None,Electronic check,,2017-11-21 18:07:34
21,0023-XUOPT,1,2,1,Female,0,Yes,No,13,Yes,Yes,No,Yes,Yes,No,Yes,No,No,94.1,1215.6,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2020-12-21 18:07:34
22,0027-KWYKW,1,2,1,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,Yes,No,Yes,83.75,1849.95,No,Month-to-month,Fiber optic,Electronic check,,2020-02-21 18:07:34
23,0030-FNXPP,2,3,1,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.85,57.2,No,Month-to-month,None,Mailed check,,2021-10-21 18:07:34
24,0031-PVLZI,2,3,1,Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.35,76.35,Yes,Month-to-month,None,Mailed check,2022-01-31,2021-09-21 18:07:34
